
1,1690,1,7,4,0,8,2,0,0,0,0,9,8,5,0,0,1,Print/
2,1690,1,7,4,0,8,2,0,0,0,5,9,8,5,0,0,1,It's/
3,1058,1,7,4,0,8,2,0,0,0,5,0,8,5,0,0,1,UU/
4,1058,1,7,4,0,8,2,0,0,0,5,0,00,5,0,0,1,Oops/
5,131,1,7,4,0,8,2,0,1,4,5,9,0,5,0,0,1,Coats/
6,6329,1,7,4,1,8,2,1,1,4,0,9,0,5,0,0,1,Bucks/
7,6329,1,7,4,1,8,2,1,1,4,5,9,8,5,0,0,1,Thought/
16,1058,1,8,0,0,3,2,3,0,0,1,7,8,3,1,1,1,Overpowered/
100,1768,1,0,0,2,2,1,0,1,1,0,14,1,1,0,0,1,Nashoba/
3,3467,1,0,0,0,3,0,0,4,0,0,12,0,0,0,0,1,Decent I guess/
7,6324,1,0,0,0,1,0,0,2,0,0,5,0,0,0,0,1,Decent I guess/
17,3467,1,0,0,0,4,0,0,0,0,2,11,3,0,0,0,1,Decent I guess/
37,3467,1,0,0,0,4,0,0,4,0,2,12,3,0,0,0,1,Decent I guess/
47,3467,1,0,0,0,6,0,0,3,0,2,8,5,0,0,0,1,Decent I guess/
28,1058,1,0,0,0,6,0,0,3,0,2,24,5,0,0,0,1,The best/
30,3467,1,2,0,0,2,11,0,3,0,2,10,8,0,0,0,1,Still okay/
106,3467,1,1,0,0,3,0,0,1,2,0,10,0,0,0,0,1,Very good defender algae too/
116,3467,1,1,0,0,2,1,0,0,2,0,0,3,9,0,0,1,Very good defender and algae/
126,3467,1,1,0,0,4,1,0,0,2,0,4,3,9,0,0,1,Very good defender and algae/
