1,1058,5,8,1,7,2,0,8,3,7,7,3,5,0,0,0,9,best team ever/
1,6328,4,7,0,0,8,1,0,1,0,10,4,6,0,0,8,0,pretty good coral/
1,6329,7,6,0,0,0,0,0,1,10,5,0,10,5,0,0,3,good auto/
1,78,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,trash robot/
1,175,6,7,0,0,0,5,0,1,0,4,0,10,1,10,0,0,decent/
1,177,3,0,6,2,0,0,0,9,3,10,0,0,0,0,2,0,good defense/
2,131,9,3,0,0,0,0,0,12,0,0,0,5,0,2,0,0,consistent human player/
2,1058,1,0,6,8,9,0,7,1,6,9,19,8,0,0,0,7,even better team/
2,7409,3,0,0,0,0,1,10,1,0,0,0,8,0,0,1,0,note/
2,1028,10,2,0,0,0,0,0,5,5,8,0,3,0,8,0,0,/
2,1058,4,3,3,9,2,0,4,10,2,2,2,8,0,0,0,6,best team ever/
2,6328,9,6,0,0,6,7,0,3,0,6,1,1,0,0,6,0,pretty good coral/
3,6329,5,5,0,0,0,0,0,5,2,10,0,8,4,0,0,9,good auto/
3,78,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,trash robot/
3,175,6,7,0,0,0,2,0,9,0,7,0,10,2,3,0,0,decent/
3,177,2,0,3,6,0,0,0,1,5,9,0,0,0,0,4,0,good defense/
3,131,7,4,0,0,0,0,0,12,0,0,0,10,0,5,0,0,consistent human player/
3,1058,6,0,9,9,4,0,2,6,3,4,19,8,0,0,0,10,even better team/
4,7409,6,0,0,0,0,7,7,1,0,0,0,7,0,0,4,0,note/
4,1028,5,5,0,0,0,0,0,6,5,2,0,5,0,10,0,0,/
4,1058,8,8,3,2,6,0,3,4,7,9,4,1,0,0,0,8,best team ever/
4,6328,2,6,0,0,8,8,0,7,0,6,5,7,0,0,5,0,pretty good coral/
4,6329,2,5,0,0,0,0,0,10,5,7,0,1,1,0,0,7,good auto/
4,78,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,trash robot/
5,175,8,6,0,0,0,8,0,1,0,1,0,1,7,1,0,0,decent/
5,177,7,0,10,10,0,0,0,10,8,1,0,0,0,0,1,0,good defense/
5,131,7,7,0,0,0,0,0,12,0,0,0,9,0,3,0,0,consistent human player/
5,1058,2,0,6,4,2,0,5,7,5,10,19,5,0,0,0,2,even better team/
5,7409,1,0,0,0,0,10,4,4,0,0,0,10,0,0,10,0,note/
5,1028,2,2,0,0,0,0,0,1,10,6,0,4,0,3,0,0,/
2,1058,1,104,3,1,1,11,1,15,16,30,5,15,5,0,0,1,No/
